T2D	CAD	SCZ	MDD	AD
0.0465608861729393	0.0273118851759044	0.00730202663417453	0.139466026954991	0.033351191090826
0.0223841432683883	0.0130616339193227	0.00534677955297547	0.12970326717914	0.0230431964345032
0.0163169105114649	0.00953524099460667	0.00401114099846434	0.121846646764868	0.0183883647059631
0.0121058035443951	0.00709634079707824	0.00320917975099959	0.115466597209248	0.0153927889474699
0.00907885141653633	0.00534545984514768	0.00258965356534123	0.109828154198374	0.0129504524001353
0.00676290426743483	0.00400508222077498	0.00208223735452311	0.104395581735789	0.0110678255355247
0.00519486481387207	0.00309568874658549	0.00168992474573563	0.099395301705452	0.00945807411182899
0.00403908436272285	0.00242329808356293	0.00138318100003983	0.0946446549091556	0.00823101354209524
0.00313212698959525	0.00189350830116619	0.00112846748229446	0.0901883115226917	0.00717207567272727
0.00242013729561145	0.00147548966218492	0.000934269811998326	0.086031075040247	0.006276374699426
0.00192783316615445	0.00118481218576631	0.000774220812344738	0.0822337142933976	0.00553319262945291
0.00155108590619776	0.000961064119608556	0.000647169253843847	0.0785873461009166	0.00494316332306368
0.00125786084830763	0.000785845763548827	0.000542723834994163	0.075070416059824	0.00441513860604589
0.00102419689398658	0.000645313358538221	0.000454129439047118	0.0716939619266988	0.00403065122591771
0.000837354586117416	0.000532176470504127	0.000379482709995671	0.0685559530153276	0.00368791363919577
0.000684312807201232	0.000438843795207058	0.000317507415785129	0.0655447165679021	0.00342236411180421
0.000557832872498015	0.000361123788026602	0.000267690173970019	0.0627453527671052	0.00319278373450693
0.000457448530259692	0.000298950643776435	0.000225641304907786	0.0601081784958044	0.00298020235070709
0.000374650618120209	0.000247250739797864	0.000191151489901544	0.057609875906672	0.00279919427666225
0.000307762396192248	0.000205131233130544	0.00016208693218566	0.0552489536230094	0.00270774174137284
0.000252776265776821	0.000170204566419078	0.000138899426789232	0.0529921899441394	0.00263184374344547
0.000208179220320388	0.000141623040805763	0.000119089074562798	0.051076404364186	0.0025588137969849
0.000171040011524962	0.000117601363027541	0.000102069977466736	0.0492409938061127	0.00252802471256909
0.000140236038797502	9.74857168039131e-05	8.74314365331894e-05	0.0475127312341528	NA
0.000115090773388979	8.09024667423588e-05	7.49427509351598e-05	0.0458456992139694	NA
9.43117158022377e-05	6.70590966190821e-05	6.44464271123321e-05	0.0443156602804314	NA
7.71979726896234e-05	5.55377802969364e-05	5.54822859526734e-05	0.0429280101263933	NA
6.31687916517308e-05	4.59910711490256e-05	4.78493106347439e-05	0.0416112862017679	NA
5.18074595629506e-05	3.81748660322303e-05	4.14558782251045e-05	0.040336220679075	NA
4.3382744196785e-05	3.23175920592107e-05	3.61348571645196e-05	0.0390970005618073	NA
3.63629116431343e-05	2.738767027348e-05	3.14964317802645e-05	0.0378959309581093	NA
3.04412322611762e-05	2.31861561801472e-05	2.74340181185018e-05	0.036748032816391	NA
2.55249421188099e-05	1.96615225911705e-05	2.39144230101875e-05	0.0356423614890319	NA
2.14430321681248e-05	1.67043370218511e-05	2.08442255483538e-05	0.0345668942095095	NA
1.80158676050116e-05	1.41951877059558e-05	1.81530156071059e-05	0.0335285602407411	NA
1.51661906721461e-05	1.20865597106253e-05	1.59197742986592e-05	0.032523808928381	NA
1.27677858404872e-05	1.02927700138536e-05	1.39560118646959e-05	0.0315564711596076	NA
1.07836655613083e-05	8.79281906038612e-06	1.22396980758652e-05	0.0306195156444503	NA
9.13347786982173e-06	7.53193947343825e-06	1.07418783217521e-05	0.0297060779370923	NA
7.74610111420266e-06	6.46052096913565e-06	9.41994873543734e-06	0.0288179462204408	NA
